row_no,source_section,province,site_name,url,normalized_url,soft_match_key,candidate_source_level,candidate_platform_type,candidate_action,action_reason,xml_strict_url_dup_count,xml_name_dup_count,xml_soft_dup_count
35,省市自治区政采、公共资源平台,吉林省,吉林省政府采购网,http://www.ccgp-jilin.gov.cn/,http://www.ccgp-jilin.gov.cn/,www.ccgp-jilin.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
36,省市自治区政采、公共资源平台,吉林省,吉林省政府采购云平台,https://www.zcygov.cn/,https://www.zcygov.cn/,www.zcygov.cn,地方省市,政府采购,review,云平台类入口需判断是否为主站、聚合页或交易入口,7,1,7
37,省市自治区政采、公共资源平台,黑龙江省,黑龙江公共资源交易服务平台,https://ggzyjyw.hlj.gov.cn/,https://ggzyjyw.hlj.gov.cn/,ggzyjyw.hlj.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
38,省市自治区政采、公共资源平台,黑龙江省,黑龙江政府采购网,https://hljcg.hlj.gov.cn/,https://hljcg.hlj.gov.cn/,hljcg.hlj.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
39,省市自治区政采、公共资源平台,黑龙江省,黑龙江政府采购电子卖场,https://hljcg.hlj.gov.cn/mall-view/,https://hljcg.hlj.gov.cn/mall-view/,hljcg.hlj.gov.cn/mall-view,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
40,省市自治区政采、公共资源平台,黑龙江省,黑龙江服务工程超市,http://hljcg.hlj.gov.cn/fwgccs/,http://hljcg.hlj.gov.cn/fwgccs/,hljcg.hlj.gov.cn/fwgccs,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
41,省市自治区政采、公共资源平台,江苏省,江苏公共资源交易服务平台,http://jsggzy.jszwfw.gov.cn/,http://jsggzy.jszwfw.gov.cn/,jsggzy.jszwfw.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
42,省市自治区政采、公共资源平台,江苏省,江苏政府采购网,http://www.ccgp-jiangsu.gov.cn/,http://www.ccgp-jiangsu.gov.cn/,www.ccgp-jiangsu.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,2,1,2
43,省市自治区政采、公共资源平台,江苏省,苏采云,http://www.ccgp-jiangsu.gov.cn/,http://www.ccgp-jiangsu.gov.cn/,www.ccgp-jiangsu.gov.cn,地方省市,待判定,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,2,1,2
44,省市自治区政采、公共资源平台,浙江省,浙江公共资源交易服务平台,https://ggzy.zj.gov.cn/,https://ggzy.zj.gov.cn/,ggzy.zj.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
45,省市自治区政采、公共资源平台,浙江省,浙江政府采购网,https://zfcg.czt.zj.gov.cn/,https://zfcg.czt.zj.gov.cn/,zfcg.czt.zj.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
46,省市自治区政采、公共资源平台,浙江省,政采云,https://www.zcygov.cn/,https://www.zcygov.cn/,www.zcygov.cn,地方省市,待判定,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,7,1,7
47,省市自治区政采、公共资源平台,安徽省,安徽省公共资源交易服务平台,https://ggzy.ah.gov.cn/,https://ggzy.ah.gov.cn/,ggzy.ah.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
48,省市自治区政采、公共资源平台,安徽省,安徽政府采购网,http://www.ccgp-anhui.gov.cn/,http://www.ccgp-anhui.gov.cn/,www.ccgp-anhui.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
49,省市自治区政采、公共资源平台,安徽省,徽采云,https://mall.anhui.zcygov.cn/?utm=site.site-PC-4718.899-pc-websitegroup-anhuiTwoLinkfront.2.18df33a070b01lee9f1789d292a0ea5b,https://mall.anhui.zcygov.cn/?utm=site.site-PC-4718.899-pc-websitegroup-anhuiTwoLinkfront.2.18df33a070b01lee9f1789d292a0ea5b,mall.anhui.zcygov.cn/?utm=site.site-pc-4718.899-pc-websitegroup-anhuitwolinkfront.2.18df33a070b01lee9f1789d292a0ea5b,地方省市,待判定,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
50,省市自治区政采、公共资源平台,福建省,福建公共资源交易服务平台,https://ggzyfw.fujian.gov.cn/,https://ggzyfw.fujian.gov.cn/,ggzyfw.fujian.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
51,省市自治区政采、公共资源平台,福建省,福建省政府采购网,https://zfcg.czt.fujian.gov.cn/,https://zfcg.czt.fujian.gov.cn/,zfcg.czt.fujian.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
52,省市自治区政采、公共资源平台,福建省,福建省政府采购网上超市,https://zfcg.czt.fujian.gov.cn/gpmall-main-web/index,https://zfcg.czt.fujian.gov.cn/gpmall-main-web/index,zfcg.czt.fujian.gov.cn/gpmall-main-web/index,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
53,省市自治区政采、公共资源平台,江西省,江西省公共资源交易服务平台,https://www.jxsggzy.cn/,https://www.jxsggzy.cn/,www.jxsggzy.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
54,省市自治区政采、公共资源平台,江西省,江西省政府采购网,http://www.ccgp-jiangxi.gov.cn/web/,http://www.ccgp-jiangxi.gov.cn/web/,www.ccgp-jiangxi.gov.cn/web,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
55,省市自治区政采、公共资源平台,江西省,江西省政府采购电子卖场,https://www.jxemall.com/,https://www.jxemall.com/,www.jxemall.com,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
56,省市自治区政采、公共资源平台,山东省,山东省公共资源交易服务平台,https://ggzyjy.shandong.gov.cn/,https://ggzyjy.shandong.gov.cn/,ggzyjy.shandong.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
57,省市自治区政采、公共资源平台,山东省,山东政府采购网,http://www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,http://www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
58,省市自治区政采、公共资源平台,山东省,齐鲁云采山东省政府采购网上商城,http://ggzyjyzx.shandong.gov.cn:8282/gpmall-main-web/index,http://ggzyjyzx.shandong.gov.cn:8282/gpmall-main-web/index,ggzyjyzx.shandong.gov.cn:8282/gpmall-main-web/index,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
59,省市自治区政采、公共资源平台,河南省,河南省公共资源交易中心,https://hnsggzyfwpt.hndrc.gov.cn/,https://hnsggzyfwpt.hndrc.gov.cn/,hnsggzyfwpt.hndrc.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
60,省市自治区政采、公共资源平台,河南省,河南省政府采购网,http://www.ccgp-henan.gov.cn/,http://www.ccgp-henan.gov.cn/,www.ccgp-henan.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
61,省市自治区政采、公共资源平台,河南省,河南省政府采购云平台,https://www.zcygov.cn/,https://www.zcygov.cn/,www.zcygov.cn,地方省市,政府采购,review,云平台类入口需判断是否为主站、聚合页或交易入口,7,1,7
62,省市自治区政采、公共资源平台,湖北省,湖北公共资源交易中心,https://www.hbggzyfwpt.cn/,https://www.hbggzyfwpt.cn/,www.hbggzyfwpt.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
63,省市自治区政采、公共资源平台,湖北省,湖北政府采购网,https://www.ccgp-hubei.gov.cn/,https://www.ccgp-hubei.gov.cn/,www.ccgp-hubei.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
64,省市自治区政采、公共资源平台,湖北省,湖北省政府采购网上商城,https://wssc.hubeigp.gov.cn/,https://wssc.hubeigp.gov.cn/,wssc.hubeigp.gov.cn,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
65,省市自治区政采、公共资源平台,湖南省,湖南省公共资源交易服务平台,https://www.hnsggzy.com/,https://www.hnsggzy.com/,www.hnsggzy.com,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
66,省市自治区政采、公共资源平台,湖南省,湖南政府采购网,http://www.ccgp-hunan.gov.cn/,http://www.ccgp-hunan.gov.cn/,www.ccgp-hunan.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
67,省市自治区政采、公共资源平台,湖南省,湖南乐采云电子卖场,https://hnlcy.zcygov.cn/,https://hnlcy.zcygov.cn/,hnlcy.zcygov.cn,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
68,省市自治区政采、公共资源平台,广东省,广东公共资源交易服务平台,https://ygp.gdzwfw.gov.cn/,https://ygp.gdzwfw.gov.cn/,ygp.gdzwfw.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
69,省市自治区政采、公共资源平台,广东省,广东政府采购网,https://gdgpo.czt.gd.gov.cn/,https://gdgpo.czt.gd.gov.cn/,gdgpo.czt.gd.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
70,省市自治区政采、公共资源平台,广东省,广东政府采购电子卖场,https://gdgpo.czt.gd.gov.cn/gpmall-main-web/index?regionguid=2137001,https://gdgpo.czt.gd.gov.cn/gpmall-main-web/index?regionguid=2137001,gdgpo.czt.gd.gov.cn/gpmall-main-web/index?regionguid=2137001,地方省市,商城卖场,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1
71,省市自治区政采、公共资源平台,海南省,海南公共资源交易服务平台,https://ggzy.hainan.gov.cn/,https://ggzy.hainan.gov.cn/,ggzy.hainan.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1
